S,R,LB,radius,weight,Group,ReasonId,Timestamp,ProjectId
L11018667,L11018223,L11018667,1,40,1,10,2019-07-14 10:00:00.230,0
L11018667,L11024769,L11018667,1,30,1,8,2019-07-14 12:56:25.203,0
L11018667,L11024309,L11018667,1,30,1,8,2019-07-14 12:12:03.213,0
L11018667,L11018444,L11018667,1,30,1,7,2019-07-14 12:25:08.127,0
L11018667,L11032745,L11018667,1,40,1,6,2019-07-14 11:16:14.167,0
L11018667,L11004275,L11018667,1,50,1,9,2019-07-14 11:05:26.177,0
L11018667,L11034982,L11018667,1,30,1,8,2019-07-14 11:51:03.253,0
L11018667,L11002583,L11018667,1,20,1,8,2019-07-14 14:04:06.070,0
L11018667,L11027745,L11018667,1,40,1,3,2019-07-14 11:34:42.193,0
L11018667,L11015624,L11018667,1,30,1,8,2019-07-14 12:26:50.110,0
L11018667,L11003097,L11018667,1,30,1,1,2019-07-14 12:36:10.190,0
L11018667,L11001507,L11018667,1,30,1,8,2019-07-14 12:40:47.120,0
L11018667,L11004307,L11018667,1,30,1,8,2019-07-14 13:40:04.080,0
L11018667,L11000277,L11018667,1,40,1,5,2019-07-14 09:51:28.297,0
L11018667,L11018687,L11018667,1,40,1,1,2019-07-14 09:45:46.220,0
L11018667,L11000236,L11018667,1,50,1,8,2019-07-14 11:07:29.190,0
L11018667,L11002602,L11018667,1,40,1,11,2019-07-14 09:48:24.313,0
L11018667,L70000291,L11018667,1,30,1,8,2019-07-14 12:08:38.223,0
L11018667,L11018986,L11018667,1,30,1,7,2019-07-14 12:54:22.177,0
L11018667,L11023389,L11018667,1,30,1,8,2019-07-14 12:45:17.110,0
L11018667,L11024263,L11018667,1,30,1,9,2019-07-14 10:09:39.303,0
L11018667,L11020432,L11018667,1,30,1,1,2019-07-14 12:49:26.110,0
L11018667,L11021352,L11018667,1,40,1,8,2019-07-14 11:18:05.173,0
L11018667,L11029527,L11018667,1,20,1,8,2019-07-14 11:58:08.217,0
L11018667,L11035482,L11018667,1,20,1,8,2019-07-14 11:52:03.150,0
L11018667,L11004291,L11018667,1,30,1,7,2019-07-14 11:50:03.277,0
L11018667,L11007655,L11018667,1,40,1,6,2019-07-14 10:46:27.217,0
L11018667,L11020161,L11018667,1,30,1,8,2019-07-14 13:05:38.190,0
L11018667,L11004785,L11018667,1,40,1,11,2019-07-14 13:10:39.100,0
